a	ə
fusta	f ˈu s . t ə
fustes	f ˈu s . t ə s
fusteta	f u s . t ˈɛ . t ə
futbol	f u d . b ˈɔ l
futbolí	f u d . b u . l ˈi
futur	f u . t ˈu ɾ
futura	f u . t ˈu . ɾ ə
futures	f u . t ˈu . ɾ ə s
futurista	f u . t u . ɾ ˈi s . t ə
futurs	f u . t ˈu ɾ s
güell	g w ˈe ʎ
günther	ʒ ˈe_üena_ther
günther	ʒ ˈe_ˈu . ˈɛ . n ə_ther
günther	ʒ ˈe_ˈu . ˈɛ . n ə_t ˈe
gaèliques	g ə . ˈɛ . l i . k ə s
gabinet	g ə . β i . n ˈɛ t
gabriel	g ə . β ɾ i . ˈɛ l
gaditans	g ə . ð i . t ˈa n s
gaià	g ə . j ˈa
gaire	g ˈa j . ɾ ə
gairebé	g ə j . ɾ ə . β ˈe
gairell	g ə j . ɾ ˈe ʎ
gaires	g ˈa j . ɾ ə s
gala	g ˈa . l ə
galícia	g ə . l ˈi . s i . ə
galàxies	g ə . l ˈa k . s i . ə s
galeria	g ə . l ə . ɾ ˈi . ə
gales	g ˈa . l ə s
galetes	g ə . l ˈɛ . t ə s
gèlida	ʒ ˈɛ . l i . ð ə
gall	g ˈa ʎ
gallec	g ə . ʎ ˈɛ k
galleda	g ə . ʎ ˈe . d ə
gallega	g ə . ʎ ˈɛ . g ə
gallets	g ə . ʎ ˈɛ t s
galta	g ˈa l . t ə
galtes	g ˈa l . t ə s
gamma	g ˈa m . m ə
gamper	g ə m . p ˈe
gana	g ˈa . n ə
gandesa	g ə n . d ˈɛ . z ə
ganduls	g ə n . d ˈu l s
gènere	ʒ ˈɛ . n ə . ɾ ə
ganes	g ˈa . n ə s
ganivet	g ə . n i . b ˈɛ t
ganivets	g ə . n i . b ˈɛ t s
gante	g ˈa n . t ə
ganxos	g ˈa n . ʃ u s
ganyota	g ə . ɲ ˈɔ . t ə
ganyotes	g ə . ɲ ˈɔ . t ə s
ganz	g ˈa n s
garanteix	g ə . ɾ ə n . t ˈɛ ʃ
garantia	g ə . ɾ ə n . t ˈi . ə
garantim	g ə . ɾ ə n . t ˈi m
garantint	g ə . ɾ ə n . t ˈi n 
garantir	g ə . ɾ ə n . t ˈi
garantirà	g ə . ɾ ə n . t i . ɾ ˈa
garantir-ho	g ə . ɾ ə n . t ˈi ɾ u
garantit	g ə . ɾ ə n . t ˈi t
garapinyades	g ə . ɾ ə . p i . ɲ ˈa . ð ə s
garatges	g ə . ɾ ˈa d . ʒ ə s
garcía	g a ɾ . θ ˈi . a
gargallons	g ə ɾ . g ə . ʎ ˈo n s
gargot	g ə ɾ . g ˈɔ t
garona	g ə . ɾ ˈo . n ə
garraf	g ə . r ˈa f
garrafes	g ə . r ˈa . f ə s
garratibats	g ə . r ə . t i . β ˈa t s
garriga	g ə . r ˈi . ɣ ə
garrigues	g ə . r ˈi . g ə s
garrotxa	g ə . r ˈɔ t . ʃ ə
garses	g ˈa ɾ . s ə s
gas	g ˈa s
gasoil	g ə . z ˈɔ j l
gasol	g ə . z ˈɔ l
gasolina	g ə . z u . l ˈi . n ə
gasolinera	g ə . z u . l i . n ˈe . ɾ ə
gasos	g ˈa . z u s
gaspart	g ə s . p ˈa ɾ t
gaspatxo	g ə s . p ˈa t . ʃ u
gasta	g ˈa s . t ə
gasteròpodes	g ə s . t ə . ɾ ˈɔ . p u . ð ə s
gastronòmica	g ə s . t ɾ u . n ˈɔ . m i . k ə
gastronomia	g ə s . t ɾ u . n u . m ˈi . ə
gat	g ˈa t
gatets	g ə . t ˈɛ t s
gats	g ˈa t s
gaudí	g ə w . ð ˈi
gaudeix	g ə w . d ˈɛ ʃ
gaudeixen	g ə w . d ˈɛ ʃ ə n
gaudeixin	g ə w . d ˈɛ ʃ i n
gaudeixo	g ə w . d ˈɛ ʃ u
gaudia	g ə w . ð ˈi . ə
gaudint	g ə w . ð ˈi n 
gaudir	g ə w . ð ˈi
gaudirà	g ə w . ð i . ɾ ˈa
gaudit	g ə w . ð ˈi t
gavarres	g ə . b ˈa . r ə s
gavà	g ə . b ˈa
gavines	g ə . β ˈi . n ə s
gàbia	g ˈa . β i . ə
gàngster	g ˈa n s . t ə ɾ
gàngsters	g ˈa n s . t ə ɾ s
geògraf	ʒ ə . ˈɔ . ɣ ɾ ə f
gegant	ʒ ə . ɣ ˈa n 
gel	ʒ ˈɛ l
gelós	ʒ ə . l ˈo s
gelada	ʒ ə . l ˈa . ð ə
gelat	ʒ ə . l ˈa t
gelida	ʒ ə . l ˈi . ð ə
gelor	ʒ ə . l ˈo
geltrú	ʒ ə l . t ɾ ˈu
gemec	ʒ ə . m ˈɛ k
gemecs	ʒ ə . m ˈɛ k s
gemma	ʒ ˈɛ m . m ə
gen	ʒ ə . n ˈe
genèrica	ʒ ə . n ˈɛ . ɾ i . k ə
genís	ʒ ə . n ˈi s
genètica	ʒ ə . n ˈɛ . t i . k ə
genèticament	ʒ ə . n ˈɛ . t i . k ə . m ˈe n 
genètics	ʒ ə . n ˈɛ . t i k s
gener	ʒ ə . n ˈe
genera	ʒ ə . n ˈe . ɾ ə
generació	ʒ ə . n ə . ɾ ə . s i . ˈo
generacions	ʒ ə . n ə . ɾ ə . s i . ˈo n s
generades	ʒ ə . n ə . ɾ ˈa . ð ə s
general	ʒ ə . n ə . ɾ ˈa l
generalíssim	ʒ ə . n ə . ɾ ə . l ˈi . s i m
generalitat	ʒ ə . n ə . ɾ ə . l i . t ˈa t
generals	ʒ ə . n ə . ɾ ˈa l s
generar	ʒ ə . n ə . ɾ ˈa
generen	ʒ ə . n ˈe . ɾ ə n
generosa	ʒ ə . n ə . ɾ ˈɔ . z ə
generosos	ʒ ə . n ə . ɾ ˈɔ . z u s
genets	ʒ ə . n ˈɛ t s
genial	ʒ ə . n i . ˈa l
genocidi	ʒ ə . n u . s ˈi . ð i
genoll	ʒ ə . n ˈɔ ʎ
genolls	ʒ ə . n ˈɔ ʎ s
gens	ʒ ˈɛ n s
gent	ʒ ˈe n 
geoeconòmics	ʒ ə . u . ə . k u . n ˈɔ . m i k s
geografia	ʒ ə . u . ɣ ɾ ə . f ˈi . ə
geogràfica	ʒ ə . u . ɣ ɾ ˈa . f i . k ə
geogràfics	ʒ ə . u . ɣ ɾ ˈa . f i k s
geogràfiques	ʒ ə . u . ɣ ɾ ˈa . f i . k ə s
geomètric	ʒ ə . u . m ˈɛ . t ɾ i k
geomètrica	ʒ ə . u . m ˈɛ . t ɾ i . k ə
geomètrics	ʒ ə . u . m ˈɛ . t ɾ i k s
geomètriques	ʒ ə . u . m ˈɛ . t ɾ i . k ə s
geometria	ʒ ə . u . m ə . t ɾ ˈi . ə
geoposicionament	ʒ ə . u . p u . z i . s i . ˈo . n ə . m ˈe n 
georgians	ʒ ə . u ɾ . ʒ i . ˈa n s
gerard	ʒ ə . ɾ ˈa ɾ t
gerds	ʒ ˈɛ ɾ s
gerent	ʒ ə . ɾ ˈe n 
geriàtrics	ʒ ə . ɾ i . ˈa . t ɾ i k s
germana	ʒ ə ɾ . m ˈa . n ə
germanastres	ʒ ə ɾ . m ə . n ˈa s . t ɾ ə s
germanes	ʒ ə ɾ . m ˈa . n ə s
germanor	ʒ ə ɾ . m ə . n ˈo
germans	ʒ ə ɾ . m ˈa n s
germà	ʒ ə ɾ . m ˈa
gerom	ʒ ə . ɾ ˈo m
gerros	ʒ ˈɛ . r u s
gespa	ʒ ˈɛ s . p ə
gest	ʒ ˈe s t
gesta	ʒ ˈe s . t ə
gestació	ʒ ə s . t ə . s i . ˈo
gestió	ʒ ə s . t i . ˈo
gesticulacions	ʒ ə s . t i . k u . l ə . s i . ˈo n s
gesticulant	ʒ ə s . t i . k u . l ˈa n 
gesticular	ʒ ə s . t i . k u . l ˈa
gestiona	ʒ ə s . t i . ˈo . n ə
gestionar	ʒ ə s . t i . u . n ˈa
gestionarà	ʒ ə s . t i . u . n ə . ɾ ˈa
gestionat	ʒ ə s . t i . u . n ˈa t
gestioneu	ʒ ə s . t i . u . n ˈɛ w
gestions	ʒ ə s . t i . ˈo n s
gestor	ʒ ə s . t ˈo
gestora	ʒ ə s . t ˈo . ɾ ə
gestos	ʒ ˈe s . t u s
gests	ʒ ˈe s t s
gestuals	ʒ ə s . t u . ˈa l s
gimnasta	ʒ i m . n ˈa s . t ə
gimnàs	ʒ i m . n ˈa s
ginebra	ʒ i . n ˈe . b ɾ ə
gir	ʒ ˈi ɾ
gira	ʒ ˈi . ɾ ə
girada	ʒ i . ɾ ˈa . ð ə
girafes	ʒ i . ɾ ˈa . f ə s
girant	ʒ i . ɾ ˈa n 
girar	ʒ i . ɾ ˈa
giraria	ʒ i . ɾ ə . ɾ ˈi . ə
girat	ʒ i . ɾ ˈa t
girava	ʒ i . ɾ ˈa . b ə
giravoltar	ʒ i . ɾ ə . β u l . t ˈa
girem	ʒ i . ɾ ˈɛ m
giren	ʒ ˈi . ɾ ə n
giri	ʒ ˈi . ɾ i
giro	ʒ ˈi . ɾ u
girona	ʒ i . ɾ ˈo . n ə
gironès	ʒ i . ɾ u . n ˈɛ s
gironines	ʒ i . ɾ u . n ˈi . n ə s
gitanjali	ʒ i . t ə n . ʒ ˈa . l i
gitanos	ʒ i . t ˈa . n u s
glòbuls	g l ˈɔ . β u l s
glaça	g l ˈa . s ə
glaçada	g l ə . s ˈa . ð ə
glaçat	g l ə . s ˈa t
glasgow	g l ə s . g ˈo w
global	g l u . β ˈa l
globalment	g l u . β ˈa l . m ˈe n 
globus	g l ˈo . b u s
glop	g l ˈo p
glops	g l ˈo p s
glossaris	g l u . s ˈa . ɾ i s
gneissificació	n ə j . s i . f i . k ə . s i . ˈo
gog	g ˈɔ k
goig	g ˈɔ t ʃ
gola	g ˈo . l ə
goles	g ˈo . l ə s
golf	g ˈɔ l f
golfes	g ˈɔ l . f ə s
golfo	g ˈɔ l . f u
goma	g ˈo . m ə
goniòmetres	g u . n i . ˈɔ . m ə . t ɾ ə s
gonzález	g o n . θ ˈa . l e θ
goril·les	g u . ɾ ˈi . l ə s
gorina	g u . ɾ ˈi . n ə
gorra	g ˈo . r ə
gos	g ˈo s
gosa	g ˈɔ . z ə
gosat	g u . z ˈa t
gosava	g u . z ˈa . b ə
gosi	g ˈɔ . z i
goso	g ˈɔ . z u
gossera	g u . s ˈe . ɾ ə
gossos	g ˈo . s u s
got	g ˈɔ t
gota	g ˈo . t ə
gotes	g ˈo . t ə s
gots	g ˈɔ t s
govern	g u . b ˈɛ ɾ n
governa	g u . b ˈɛ ɾ . n ə
governs	g u . b ˈɛ ɾ n s
gra	g ɾ ˈa
grabat	g ɾ ə . β ˈa t
grècia	g ɾ ˈɛ . s i . ə
gradació	g ɾ ə . ð ə . s i . ˈo
gradin	g ɾ ˈa . ð i n
graella	g ɾ ə . ˈe . ʎ ə
gram	g ɾ ˈa m
gramaticals	g ɾ ə . m ə . t i . k ˈa l s
gramàtica	g ɾ ə . m ˈa . t i . k ə
gramenet	g ɾ ə . m ə . n ˈɛ t
gramola	g ɾ ə . m ˈɔ . l ə
grams	g ɾ ˈa m s
gran	g ɾ ˈa n
granada	g ɾ ə . n ˈa . ð ə
grand	g ɾ ˈa n 
grandària	g ɾ ə n . d ˈa . ɾ i . ə
grandeta	g ɾ ə n . d ˈɛ . t ə
grandiosa	g ɾ ə n . d i . ˈo . z ə
granet	g ɾ ə . n ˈɛ t
granger	g ɾ ə n . ʒ ˈe
granges	g ɾ ˈa n . ʒ ə s
granit	g ɾ ə . n ˈi t
granja	g ɾ ˈa n . ʒ ə
granollers	g ɾ ə . n u . ʎ ˈe s
granota	g ɾ ə . n ˈɔ . t ə
granotes	g ɾ ə . n ˈɔ . t ə s
grans	g ɾ ˈa n s
granulometria	g ɾ ə . n u . l u . m ə . t ɾ ˈi . ə
graons	g ɾ ə . ˈo n s
grapat	g ɾ ə . p ˈa t
graset	g ɾ ə . z ˈɛ t
grat	g ɾ ˈa t
gratant	g ɾ ə . t ˈa n 
gratificant	g ɾ ə . t i . f i . k ˈa n 
gratinat	g ɾ ə . t i . n ˈa t
gratuït	g ɾ ə . t u . ˈi t
gratuïta	g ɾ ə . t u . ˈi . t ə
gratuïtament	g ɾ ə . t u . ˈi . t ə . m ˈe n 
gratuïtes	g ɾ ə . t u . ˈi . t ə s
gratuïts	g ɾ ə . t u . ˈi t s
grau	g ɾ ˈa w
graus	g ɾ ˈa w s
graux	g ɾ ˈa w k s
grava	g ɾ ˈa . b ə
gravació	g ɾ ə . β ə . s i . ˈo
gravada	g ɾ ə . b ˈa . ð ə
gravades	g ɾ ə . b ˈa . ð ə s
gravar	g ɾ ə . b ˈa
gravarem	g ɾ ə . β ə . ɾ ˈɛ m
gravar-lo	g ɾ ə . b ˈa ɾ l u
gravat	g ɾ ə . b ˈa t
gravats	g ɾ ə . b ˈa t s
graves	g ɾ ˈa . b ə s
gravi	g ɾ ˈa . b i
gràcia	g ɾ ˈa . s i . ə
gràcies	g ɾ ˈa . s i . ə s
gràcil	g ɾ ˈa . s i l
gràfic	g ɾ ˈa . f i k
gràfica	g ɾ ˈa . f i . k ə
gràfics	g ɾ ˈa . f i k s
gràfiques	g ɾ ˈa . f i . k ə s
grec	g ɾ ˈe k
grecs	g ɾ ˈe k s
grega	g ɾ ˈe . g ə
gregori	g ɾ ə . g ˈɔ . ɾ i
greix	g ɾ ˈe ʃ
greixós	g ɾ ə ʃ ˈo s
greixos	g ɾ ˈe . ʃ u s
gremial	g ɾ ə . m i . ˈa l
gremis	g ɾ ˈɛ . m i s
grenoble	g ɾ ə . n ˈo . b l ə
gresca	g ɾ ˈɛ s . k ə
greu	g ɾ ˈe w
greuge	g ɾ ˈe w . ʒ ə
greument	g ɾ ˈe w . m ˈe n 
greus	g ɾ ˈe w s
grill	g ɾ ˈi ʎ
grills	g ɾ ˈi ʎ s
grinyola	g ɾ i . ɲ ˈɔ . l ə
grinyolaven	g ɾ i . ɲ u . l ˈa . b ə n
grinyolen	g ɾ i . ɲ ˈɔ . l ə n
gripaus	g ɾ i . p ˈa w s
gris	g ɾ ˈi s
grisa	g ɾ ˈi . z ə
grises	g ɾ ˈi . z ə s
grisos	g ɾ ˈi . z u s
grisosos	g ɾ i . z ˈo . z u s
groc	g ɾ ˈɔ k
groenlàndia	g ɾ u . ə n . l ˈa n . d i . ə
grog	g ɾ ˈɔ k
groga	g ɾ ˈɔ . g ə
grogosos	g ɾ u . g ˈo . z u s
groguenc	g ɾ u . g ˈɛ n k
grogues	g ɾ ˈɔ . g ə s
grollera	g ɾ u . ʎ ˈe . ɾ ə
gronxador	g ɾ u n . ʃ ə . d ˈo
gronxadors	g ɾ u n . ʃ ə . d ˈo s
gronxar-m'hi	g ɾ u n . ʃ ˈa ɾ m i
gronxat	g ɾ u n . ʃ ˈa t
gronxava	g ɾ u n . ʃ ˈa . b ə
gros	g ɾ ˈɔ s
grossa	g ɾ ˈɔ . s ə
grosses	g ɾ ˈɔ . s ə s
grossos	g ɾ ˈɔ . s u s
grotesc	g ɾ u . t ˈɛ s k
grua	g ɾ ˈu . ə
gruix	g ɾ ˈu ʃ
gruixos	g ɾ ˈu ʃ u s
gruixudes	g ɾ u j . ʃ ˈu . ð ə s
gruixut	g ɾ u j . ʃ ˈu t
grup	g ɾ ˈu p
grup-classe	g ɾ ˈu p k . l ə . s ə
grupet	g ɾ u . p ˈɛ t
grupets	g ɾ u . p ˈɛ t s
grups	g ɾ ˈu p s
gruta	g ɾ ˈu . t ə
guacamais	g w ə . k ə . m ˈa j s
guèiser	g ˈɛ j . s ə ɾ
guaita	g w ˈa j . t ə
guaix	g w ˈa ʃ
guants	g w ˈa n s
guanyador	g w ə . ɲ ə . d ˈo
guanyant	g w ə . ɲ ˈa n 
guanyant-me	g w ə . ɲ ˈa n m ə
guanyar	g w ə . ɲ ˈa
guanyarem	g w ə . ɲ ə . ɾ ˈɛ m
guanyar-hi	g w ə . ɲ ˈa ɾ i
guanyar-ne	g w ə . ɲ ˈa ɾ n ə
guanyar-nos	g w ə . ɲ ˈa ɾ n u s
guanyat	g w ə . ɲ ˈa t
guanyava	g w ə . ɲ ˈa . b ə
guanyem	g w ə . ɲ ˈɛ m
guanyes	g w ˈa . ɲ ə s
guanyo	g w ˈa . ɲ u
guapa	g w ˈa . p ə
guard	g w ˈa ɾ t
guarda	g w ˈa ɾ . d ə
guardada	g w ə ɾ . d ˈa . ð ə
guardades	g w ə ɾ . d ˈa . ð ə s
guardar	g w ə ɾ . d ˈa
guardar-ho	g w ə ɾ . d ˈa ɾ u
guardar-lo	g w ə ɾ . d ˈa ɾ l u
guardat	g w ə ɾ . d ˈa t
guardats	g w ə ɾ . d ˈa t s
guardava	g w ə ɾ . d ˈa . b ə
guardaven	g w ə ɾ . d ˈa . b ə n
guardaves	g w ə ɾ . d ˈa . b ə s
guarden	g w ˈa ɾ . d ə n
guardians	g w ə ɾ . d i . ˈa n s
guardo	g w ˈa ɾ . d u
guatlles	g w ˈa t . ʎ ə s
guíxols	g ˈi . ʃ u l s
guàrdia	g w ˈa ɾ . d i . ə
guàrdies	g w ˈa ɾ . d i . ə s
guernica	g ə ɾ . n ˈi . k ə
guerra	g ˈɛ . r ə
guerrer	g ə . r ˈe
guerreres	g ə . r ˈe . ɾ ə s
guerrers	g ə . r ˈe s
guerres	g ˈɛ . r ə s
guerxos	g ˈe ɾ . ʃ u s
guetos	g ˈɛ . t u s
guia	g ˈi . ə
guió	g i . ˈo
guiarem	g i . ə . ɾ ˈɛ m
guiava	g i . ˈa . b ə
guies	g ˈi . ə s
guillem	g i . ʎ ˈɛ m
guinda	g ˈi n . d ə
guinguetes	g i n . g ˈɛ . t ə s
guinyols	g i . ɲ ˈɔ l s
guionista	g i . u . n ˈi s . t ə
guipúscoa	g i . p ˈu s . k u . ə
guipuscoanes	g i . p u s . k u . ˈa . n ə s
guirigall	g i . ɾ i . ɣ ˈa ʎ
guitarra	g i . t ˈa . r ə
guitarres	g i . t ˈa . r ə s
guixada	g i . ʃ ˈa . ð ə
guixat	g i . ʃ ˈa t
guixats	g i . ʃ ˈa t s
guixots	g i . ʃ ˈɔ t s
guspira	g u s . p ˈi . ɾ ə
guspires	g u s . p ˈi . ɾ ə s
gust	g ˈu s t
gustos	g ˈu s . t u s
ha	ˈa
hòstia	ˈɔ s . t i . ə
habilita	ə . β i . l ˈi . t ə
habilitat	ə . β i . l i . t ˈa t
habilitats	ə . β i . l i . t ˈa t s
habiliteu	ə . β i . l i . t ˈɛ w
habitació	ə . β i . t ə . s i . ˈo
habitacions	ə . β i . t ə . s i . ˈo n s
habitada	ə . β i . t ˈa . ð ə
habitants	ə . β i . t ˈa n s
habitatge	ə . β i . t ˈa d . ʒ ə
habitatges	ə . β i . t ˈa d . ʒ ə s
habitava	ə . β i . t ˈa . b ə
habito	ə . β ˈi . t u
habitual	ə . β i . t u . ˈa l
habitualment	ə . β i . t u . ˈa l . m ˈe n 
habituals	ə . β i . t u . ˈa l s
habituats	ə . β i . t u . ˈa t s
híbrid	ˈi . β ɾ i t
hagi	ˈa . ʒ i
hagin	ˈa . ʒ i n
hagis	ˈa . ʒ i s
hagué	ə . g ˈe
hagués	ə . g ˈe s
haguéssim	ə . g ˈe . s i m
haguessis	ə . g ˈe . s i s
haguessiu	ə . g ə . s ˈi w
hagut	ə . ɣ ˈu t
haia	ˈa . j ə
haig	ˈa t ʃ
haití	ə j . t ˈi
halo	ˈa . l u
hèlsinki	ˈɛ l . s i n . k i
hamburg	ə m . b ˈu ɾ k
han	ˈa n
hannover	ə . n u . b ˈe
hansen	ˈa n . s ə n
harmònica	ə ɾ . m ˈɔ . n i . k ə
harmoniós	ə ɾ . m u . n i . ˈo s
harmonioses	ə ɾ . m u . n i . ˈo . z ə s
harmonitza	ə ɾ . m u . n ˈi d . z ə
has	ˈa s
hauré	ə w . ɾ ˈe
hauríem	ə w . ɾ ˈi . ə m
hauran	ə w . ɾ ˈa n
haurà	ə w . ɾ ˈa
hauràs	ə w . ɾ ˈa s
haurem	ə w . ɾ ˈɛ m
haureu	ə w . ɾ ˈɛ w
hauria	ə w . ɾ ˈi . ə
haurien	ə w . ɾ ˈi . ə n
hauries	ə w . ɾ ˈi . ə s
havíem	ə . β ˈi . ə m
havíen	ə . β ˈi . ə n
haver	ə . b ˈɛ
haver-hi	ə . b ˈe ɾ i
haver-la	ə . b ˈe ɾ l ə
haver-me	ə . b ˈe ɾ m ə
havia	ə . β ˈi . ə
havien	ə . β ˈi . ə n
havies	ə . β ˈi . ə s
hàbit	ˈa . β i t
hàbits	ˈa . β i t s
he	ˈe
hebron	ə . β ɾ ˈo n
hectòmetres	ə k . t ˈɔ . m ə . t ɾ ə s
heidi	ˈɛ j . ð i
hem	ˈɛ m
hemofília	ə . m u . f ˈi . l i . ə
hemorràgia	ə . m u . r ˈa . ʒ i . ə
henna	ˈɛ . n ə
herbívor	ə ɾ . b ˈi . b u ɾ
herbei	ə ɾ . b ˈɛ j
herbes	ˈe ɾ . b ə s
heretat	ə . ɾ ə . t ˈa t
hereu	ə . ɾ ˈɛ w
heroïcitat	ə . ɾ u . ˈi . s i . t ˈa t
heroïna	ə . ɾ u . ˈi . n ə
heroi	ə . ɾ ˈɔ j
herois	ə . ɾ ˈɔ j s
heteròtrofa	ə . t ə . ɾ ˈɔ . t ɾ u . f ə
heterosexuals	ə . t ə . ɾ u . z ə k . s u . ˈa l s
heu	ˈɛ w
hi	i
hidrogen	i . ð ɾ ˈɔ . ʒ ə n
higiene	i . ʒ i . ˈɛ . n ə
himne	ˈi m . n ə
himnes	ˈi m . n ə s
hindú	i n . d ˈu
hipòcrita	i . p ˈɔ . k ɾ i . t ə
hipòdrom	i . p ˈɔ . ð ɾ u m
hipòtesi	i . p ˈɔ . t ə . z i
hipòtesis	i . p ˈɔ . t ə . z i s
hipnotitza	i p . n u . t ˈi d . z ə
hipnotitzant	i p . n u . t i d . z ˈa n 
hipotàlem	i . p u . t ˈa . l ə m
hipoteca	i . p u . t ˈɛ . k ə
hipoteques	i . p u . t ˈɛ . k ə s
hippie	i p . p ˈi . ə
història	i s . t ˈɔ . ɾ i . ə
històric	i s . t ˈɔ . ɾ i k
històrica	i s . t ˈɔ . ɾ i . k ə
històries	i s . t ˈɔ . ɾ i . ə s
histèrics	i s . t ˈɛ . ɾ i k s
histograma	i s . t u . ɣ ɾ ˈa . m ə
historial	i s . t u . ɾ i . ˈa l
historietes	i s . t u . ɾ i . ˈɛ . t ə s
hivern	i . b ˈɛ ɾ n
hivernació	i . β ə ɾ . n ə . s i . ˈo
hivernacle	i . β ə ɾ . n ˈa . k l ə
hivernal	i . β ə ɾ . n ˈa l
hivernar	i . β ə ɾ . n ˈa
hiverns	i . b ˈɛ ɾ n s
ho	u
hola	ˈɔ . l ə
holanda	u . l ˈa n . d ə
hom	ˈɔ m
home	ˈɔ . m ə
homenatge	u . m ə . n ˈa d . ʒ ə
homenots	u . m ə . n ˈɔ t s
homes	ˈɔ . m ə s
homo	ˈɔ . m u
homonímia	u . m u . n ˈi . m i . ə
hondures	u n . d ˈu . ɾ ə s
honest	u . n ˈe s t
hongaresos	u n . g ə . ɾ ˈɛ . z u s
hongria	u n . g ɾ ˈi . ə
honor	u . n ˈo ɾ
honoraris	u . n u . ɾ ˈa . ɾ i s
hora	ˈɔ . ɾ ə
horari	u . ɾ ˈa . ɾ i
horaris	u . ɾ ˈa . ɾ i s
horària	u . ɾ ˈa . ɾ i . ə
horàris	u . ɾ ˈa . ɾ i s
hores	ˈɔ . ɾ ə s
horitzó	u . ɾ i d . z ˈo
horitzontals	u . ɾ i d . z u n . t ˈa l s
horrible	u . r ˈi . β l ə
horroroses	u . r u . ɾ ˈɔ . z ə s
hort	ˈɔ ɾ t
horta	ˈɔ ɾ . t ə
hortet	u ɾ . t ˈɛ t
horts	ˈɔ ɾ s
hospital	u s . p i . t ˈa l
hospitalet	u s . p i . t ə . l ˈɛ t
hospitals	u s . p i . t ˈa l s
hostal	u s . t ˈa l
hoste	ˈɔ s . t ə
hostesses	u s . t ˈɛ . s ə s
hostil	u s . t ˈi l
hotel	u . t ˈɛ l
hoteler	u . t ə . l ˈe
hotelera	u . t ə . l ˈe . ɾ ə
houston	ɔ w s . t ˈo n
huc	ˈu g
huelva	u . ˈɛ l . b ə
hug	ˈu g
humana	u . m ˈa . n ə
humanes	u . m ˈa . n ə s
humanitat	u . m ə . n i . t ˈa t
humans	u . m ˈa n s
humà	u . m ˈa
humida	u . m ˈi . ð ə
humides	u . m ˈi . ð ə s
humiliant	u . m i . l i . ˈa n 
humit	u . m ˈi t
humitat	u . m i . t ˈa t
humits	u . m ˈi t s
humor	u . m ˈo ɾ
humorística	u . m u . ɾ ˈi s . t i . k ə
humorista	u . m u . ɾ ˈi s . t ə
i	i
iaia	j ˈa . j ə
iaio	j ˈa . j u
ianquis	j ˈa n . k i s
iarda	j ˈa ɾ . d ə
iardes	j ˈa ɾ . d ə s
ibèrica	i . β ˈɛ . ɾ i . k ə
ibarretxe	i . β ə . r ˈɛ t . ʃ ə
iberoamericana	i . β ə . ɾ u . ə . m ə . ɾ i . k ˈa . n ə
icar	i . k ˈa
icart	i . k ˈa ɾ t
icona	i . k ˈo . n ə
icones	i . k ˈo . n ə s
idèntica	i . ð ˈɛ n . t i . k ə
idea	i . d ˈe . ə
ideal	i . ð e . ˈa l
idealitzen	i . ð e . ə . l ˈi d . z ə n
ideals	i . ð e . ˈa l s
idear	i . ð e . ˈa
ideat	i . ð e . ˈa t
idees	i . d ˈe . ə s
identifica	i . ð ə n . t i . f ˈi . k ə
identificació	i . ð ə n . t i . f i . k ə . s i . ˈo
identificacions	i . ð ə n . t i . f i . k ə . s i . ˈo n s
identificar	i . ð ə n . t i . f i . k ˈa
identificar-lo	i . ð ə n . t i . f i . k ˈa ɾ l u
identificar-te	i . ð ə n . t i . f i . k ˈa ɾ t ə
identificatives	i . ð ə n . t i . f i . k ə . t ˈi . β ə s
identificats	i . ð ə n . t i . f i . k ˈa t s
identifiqui	i . ð ə n . t i . f ˈi . k i
identifiquin	i . ð ə n . t i . f ˈi . k i n
identitat	i . ð ə n . t i . t ˈa t
identitats	i . ð ə n . t i . t ˈa t s
ideològic	i . ð ə . u . l ˈɔ . ʒ i k
ideològica	i . ð ə . u . l ˈɔ . ʒ i . k ə
ideològicament	i . ð ə . u . l ˈɔ . ʒ i . k ə . m ˈe n 
ideologies	i . ð ə . u . l u . ʒ ˈi . ə s
ideologista	i . ð ə . u . l u . ʒ ˈi s . t ə
idioma	i . ð i . ˈo . m ə
idiomes	i . ð i . ˈo . m ə s
idolatraven	i . ð u . l ə . t ɾ ˈa . b ə n
idoneïtat	i . ð u . n ə . ˈi . t ˈa t
idoni	i . d ˈo . n i
iemenites	j ə . m ə . n ˈi . t ə s
iens	j ˈɛ n s
ignasi	i g . n ˈa . z i
ignorant	i g . n u . ɾ ˈa n 
ignoréssim	i g . n u . ɾ ˈe . s i m
ignorava	i g . n u . ɾ ˈa . b ə
ignoren	i g . n ˈo . ɾ ə n
ignoro	i g . n ˈo . ɾ u
igual	i . ɣ w ˈa l
igualació	i . ɣ w ə . l ə . s i . ˈo
igualada	i . ɣ w ə . l ˈa . ð ə
igualar	i . ɣ w ə . l ˈa
igualitaris	i . ɣ w ə . l i . t ˈa . ɾ i s
igualment	i . ɣ w ˈa l . m ˈe n 
iguals	i . ɣ w ˈa l s
igualtat	i . ɣ w ə l . t ˈa t
il·lès	i . l ˈɛ s
il·legal	i . l ə . ɣ ˈa l
il·legals	i . l ə . ɣ ˈa l s
il·limitades	i . l i . m i . t ˈa . ð ə s
il·luminada	i . l u . m i . n ˈa . ð ə
il·luminaran	i . l u . m i . n ə . ɾ ˈa n
